Landings(tonnes)        (13/Mar/2018 17:31)
   1       1
  1947    2017
   0       9
   5
  581760  #1947
  502100  #1948
  508500  #1949
  491700  #1950
  600400  #1951
  664400  #1952
  698500  #1953
  762900  #1954
  806400  #1955
  675200  #1956
  682900  #1957
  670500  #1958
  784500  #1959
  696200  #1960
  696700  #1961
  627800  #1962
  716000  #1963
  871200  #1964
 1168800  #1965
  895500  #1966
  695500  #1967
  717800  #1968
  546700  #1969
  563100  #1970
  520100  #1971
  497500  #1972
  484000  #1973
  275100  #1974
  312800  #1975
  174800  #1976
   46000  #1977
   11000  #1978
   25100  #1979
   70764  #1980
  174879  #1981
  275079  #1982
  387202  #1983
  428631  #1984
  613780  #1985
  671488  #1986
  792058  #1987
  887686  #1988
  787899  #1989
  645229  #1990
  658008  #1991
  716799  #1992
  671397  #1993
  568234  #1994
  579371  #1995
  275098  #1996
  264313  #1997
  391628  #1998
  363163  #1999
  388157  #2000
  374065  #2001
  394709  #2002
  482281  #2003
  587698  #2004
  663813  #2005
  514597  #2006
  406482  #2007
  257870  #2008
  168443  #2009
  187611  #2010
  226478  #2011
  434710  #2012
  511416  #2013
  517356  #2014
  494099  #2015
  563610  #2016
  498437  #2017
